timestamp,src_ip,dst_ip,proto,src_port,dst_port,flags,packet_len,label
1745350865.873129,192.168.100.5,192.168.100.4,TCP,46718,22,PA,142,ssh_brute_force
1745350865.873151,192.168.100.4,192.168.100.5,TCP,22,46718,A,66,ssh_brute_force
1745350865.891003,192.168.100.4,192.168.100.5,TCP,22,46748,PA,118,ssh_brute_force
1745350865.892372,192.168.100.5,192.168.100.4,TCP,46748,22,PA,142,ssh_brute_force
1745350865.892390,192.168.100.4,192.168.100.5,TCP,22,46748,A,66,ssh_brute_force
1745350865.906101,192.168.100.4,192.168.100.5,TCP,22,46736,PA,118,ssh_brute_force
1745350865.907303,192.168.100.5,192.168.100.4,TCP,46736,22,PA,142,ssh_brute_force
1745350865.907318,192.168.100.4,192.168.100.5,TCP,22,46736,A,66,ssh_brute_force
1745350865.916688,192.168.100.4,192.168.100.5,TCP,22,46716,PA,118,ssh_brute_force
1745350865.918291,192.168.100.5,192.168.100.4,TCP,46716,22,PA,150,ssh_brute_force
1745350865.918308,192.168.100.4,192.168.100.5,TCP,22,46716,A,66,ssh_brute_force
1745350869.225493,192.168.100.4,192.168.100.5,TCP,22,46718,PA,118,ssh_brute_force
1745350869.226846,192.168.100.5,192.168.100.4,TCP,46718,22,PA,142,ssh_brute_force
1745350869.226872,192.168.100.4,192.168.100.5,TCP,22,46718,A,66,ssh_brute_force
1745350869.244407,192.168.100.4,192.168.100.5,TCP,22,46748,PA,118,ssh_brute_force
1745350869.246268,192.168.100.5,192.168.100.4,TCP,46748,22,PA,142,ssh_brute_force
1745350869.246289,192.168.100.4,192.168.100.5,TCP,22,46748,A,66,ssh_brute_force
1745350869.259325,192.168.100.4,192.168.100.5,TCP,22,46736,PA,118,ssh_brute_force
1745350869.269962,192.168.100.4,192.168.100.5,TCP,22,46716,PA,118,ssh_brute_force
1745350869.272199,192.168.100.5,192.168.100.4,TCP,46736,22,PA,142,ssh_brute_force
1745350869.272200,192.168.100.5,192.168.100.4,TCP,46716,22,PA,150,ssh_brute_force
1745350869.272227,192.168.100.4,192.168.100.5,TCP,22,46736,A,66,ssh_brute_force
